url,field,current_text,claim_type,matches_owner_policy,risk,required_action
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ร้อยเอ็ด,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-เลย,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ศรีสะเกษ,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สกลนคร,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สุรินทร์,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองคาย,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองบัวลำภู,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อำนาจเจริญ,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุดรธานี,legacy_intro,province-swap boilerplate; vague nationwide handoff,SERVICE_SCOPE,no,medium,rewrote_with_owner_limits
