url,source_file,decision_group_id,province,page_type,template_family,owner_answer,owner_limitations,hub_url,production_status,canonical,indexable,sitemap,approved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์.md,BD-01,กาฬสินธุ์,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น.md,BD-01,ขอนแก่น,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ.md,BD-01,ชัยภูมิ,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม.md,BD-01,นครพนม,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา.md,BD-01,นครราชสีมา,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ.md,BD-01,บึงกาฬ,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์.md,BD-01,บุรีรัมย์,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม.md,BD-01,มหาสารคาม,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร.md,BD-01,มุกดาหาร,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,yes,yes,yes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร.md,BD-01,ยโสธร,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,C,บางประเภท/บางกรณี; ไม่จัดส่งใหญ่แบบอัตโนมัติ; นัดรับรายกรณี,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,200,https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,yes,yes,yes
