url,province,section,current_summary,template_or_unique,missing_user_question,required_unique_value,verified_source,business_rule,implementation_action
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,กาฬสินธุ์,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,ขอนแก่น,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,ชัยภูมิ,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,นครพนม,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,นครราชสีมา,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,บึงกาฬ,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,บุรีรัมย์,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,มหาสารคาม,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,มุกดาหาร,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,ยโสธร,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ร้อยเอ็ด,ร้อยเอ็ด,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-เลย,เลย,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ศรีสะเกษ,ศรีสะเกษ,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สกลนคร,สกลนคร,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สุรินทร์,สุรินทร์,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองคาย,หนองคาย,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองบัวลำภู,หนองบัวลำภู,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อำนาจเจริญ,อำนาจเจริญ,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุดรธานี,อุดรธานี,main,thin province-swap template,was_template,handoff limits; photo checklist; district notify,district_context;large_item_limits;store_vs_appointment,owner-decision-lock;province-districts.json,BD-01 C,IMPROVED
