request_url,initial_status,initial_location,hop_1_status,hop_1_location,hop_2_status,hop_2_location,hop_3_status,hop_3_location,final_url,final_status,redirect_count,path_preserved,query_preserved,result
"http://amphon.co.th/",308,"https://amphon.co.th/",200,"https://amphon.co.th/",,"",,"","https://amphon.co.th/",200,1,true,true,BASELINE
"http://www.amphon.co.th/",308,"https://www.amphon.co.th/",301,"https://amphon.co.th/",200,"https://amphon.co.th/",,"","https://amphon.co.th/",200,2,true,true,BASELINE
"https://www.amphon.co.th/",301,"https://amphon.co.th/",200,"https://amphon.co.th/",,"",,"","https://amphon.co.th/",200,1,true,true,BASELINE
"https://amphon.co.th/",200,"",,"",,"",,"","https://amphon.co.th/",200,0,true,true,BASELINE
"http://www.amphon.co.th/contact",308,"https://www.amphon.co.th/contact",301,"https://amphon.co.th/contact",200,"https://amphon.co.th/contact",,"","https://amphon.co.th/contact",200,2,true,true,BASELINE
"https://www.amphon.co.th/contact",301,"https://amphon.co.th/contact",200,"https://amphon.co.th/contact",,"",,"","https://amphon.co.th/contact",200,1,true,true,BASELINE
"http://amphon.co.th/contact",308,"https://amphon.co.th/contact",200,"https://amphon.co.th/contact",,"",,"","https://amphon.co.th/contact",200,1,true,true,BASELINE
"https://amphon.co.th/contact",200,"",,"",,"",,"","https://amphon.co.th/contact",200,0,true,true,BASELINE
"http://www.amphon.co.th/about",308,"https://www.amphon.co.th/about",301,"https://amphon.co.th/about",200,"https://amphon.co.th/about",,"","https://amphon.co.th/about",200,2,true,true,BASELINE
"https://www.amphon.co.th/blog",301,"https://amphon.co.th/blog",200,"https://amphon.co.th/blog",,"",,"","https://amphon.co.th/blog",200,1,true,true,BASELINE
"http://www.amphon.co.th/random-url-that-does-not-exist-batch7",308,"https://www.amphon.co.th/random-url-that-does-not-exist-batch7",301,"https://amphon.co.th/random-url-that-does-not-exist-batch7",404,"https://amphon.co.th/random-url-that-does-not-exist-batch7",,"","https://amphon.co.th/random-url-that-does-not-exist-batch7",404,2,true,true,BASELINE
"https://www.amphon.co.th/random-url-that-does-not-exist-batch7",301,"https://amphon.co.th/random-url-that-does-not-exist-batch7",404,"https://amphon.co.th/random-url-that-does-not-exist-batch7",,"",,"","https://amphon.co.th/random-url-that-does-not-exist-batch7",404,1,true,true,BASELINE
"http://www.amphon.co.th/?source=batch-7-test",308,"https://www.amphon.co.th/?source=batch-7-test",301,"https://amphon.co.th/?source=batch-7-test",200,"https://amphon.co.th/?source=batch-7-test",,"","https://amphon.co.th/?source=batch-7-test",200,2,true,true,BASELINE
"http://www.amphon.co.th/contact?utm_source=host-validation&utm_medium=redirect",308,"https://www.amphon.co.th/contact?utm_source=host-validation&utm_medium=redirect",301,"https://amphon.co.th/contact?utm_source=host-validation&utm_medium=redirect",200,"https://amphon.co.th/contact?utm_source=host-validation&utm_medium=redirect",,"","https://amphon.co.th/contact?utm_source=host-validation&utm_medium=redirect",200,2,true,true,BASELINE
"https://www.amphon.co.th/contact?ref=www-test",301,"https://amphon.co.th/contact?ref=www-test",200,"https://amphon.co.th/contact?ref=www-test",,"",,"","https://amphon.co.th/contact?ref=www-test",200,1,true,true,BASELINE
"http://www.amphon.co.th/?source=%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A",308,"https://www.amphon.co.th/?source=%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A",301,"https://amphon.co.th/?source=%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A",200,"https://amphon.co.th/?source=%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A",,"","https://amphon.co.th/?source=%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A",200,2,true,true,BASELINE
