url,source_file,component,schema_type,latitude_before,longitude_before,address,telephone,map_url,canonical,indexable,status
https://amphon.co.th/,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/,yes,baseline_wrong_geo
https://amphon.co.th/contact,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/contact,yes,baseline_wrong_geo
https://amphon.co.th/about,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/about,yes,baseline_wrong_geo
https://amphon.co.th/บริการ/รับซื้อโน๊ตบุ๊ค,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/บริการ/รับซื้อโน๊ตบุ๊ค,yes,baseline_wrong_geo
https://amphon.co.th/พื้นที่ให้บริการ/อุบลราชธานี,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/พื้นที่ให้บริการ/อุบลราชธานี,yes,baseline_wrong_geo
https://amphon.co.th/พื้นที่ให้บริการ/ขอนแก่น,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/พื้นที่ให้บริการ/ขอนแก่น,yes,baseline_wrong_geo_ubon_store_only
https://amphon.co.th/พื้นที่ให้บริการ/นครราชสีมา,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/พื้นที่ให้บริการ/นครราชสีมา,yes,baseline_wrong_geo_ubon_store_only
https://amphon.co.th/พื้นที่ให้บริการ/อุดรธานี,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/พื้นที่ให้บริการ/อุดรธานี,yes,baseline_wrong_geo_ubon_store_only
https://amphon.co.th/พื้นที่ให้บริการ/บุรีรัมย์,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/พื้นที่ให้บริการ/บุรีรัมย์,yes,baseline_wrong_geo_ubon_store_only
https://amphon.co.th/พื้นที่ให้บริการ/สุรินทร์,src/config/site.ts,createLocalBusinessSchema (seo.ts) via BaseLayout,LocalBusiness,15.2386,104.8477,"740/8 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",+66642579353,https://maps.app.goo.gl/krv97o14jPTRrnpW8,https://amphon.co.th/พื้นที่ให้บริการ/สุรินทร์,yes,baseline_wrong_geo_ubon_store_only
