url,source_file,page_type,group_id,production_status,indexable,canonical,sitemap,visible_words,template_ratio,unique_value,primary_intent,closest_competing_url,cannibalization_risk,gsc_status,external_link_status,inbound_links,batch11_link_impact,business_value,trust_issue,classification,recommended_target,implementation_priority,human_review_required,reason,confidence
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","src/content/serviceAreas//รับซื้อของสะสม-กาฬสินธุ์.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","yes","222","0.483","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในกาฬสินธุ์ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","src/content/serviceAreas//รับซื้อของสะสม-ขอนแก่น.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","yes","216","0.455","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในขอนแก่น เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","src/content/serviceAreas//รับซื้อของสะสม-ชัยภูมิ.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","yes","219","0.462","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในชัยภูมิ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","src/content/serviceAreas//รับซื้อของสะสม-นครพนม.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-นครพนม","yes","216","0.5","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในนครพนม เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","src/content/serviceAreas//รับซื้อของสะสม-นครราชสีมา.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","yes","222","0.458","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในนครราชสีมา เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","src/content/serviceAreas//รับซื้อของสะสม-บึงกาฬ.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","yes","219","0.5","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในบึงกาฬ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","src/content/serviceAreas//รับซื้อของสะสม-บุรีรัมย์.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","yes","219","0.483","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในบุรีรัมย์ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","src/content/serviceAreas//รับซื้อของสะสม-มหาสารคาม.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","yes","216","0.483","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในมหาสารคาม เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","src/content/serviceAreas//รับซื้อของสะสม-มุกดาหาร.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","yes","219","0.462","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในมุกดาหาร เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","src/content/serviceAreas//รับซื้อของสะสม-ยโสธร.md","service-x-location","G-SA-รับซื้อของสะสม","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ยโสธร","yes","216","0.474","low","local-commercial","/บริการ/รับซื้อของสะสม","medium","GSC_NOT_AVAILABLE","EXTERNAL LINK DATA NOT AVAILABLE","2","none_as_destination","uncertain","no","MERGE","/บริการ/รับซื้อของสะสม","P1","yes","หน้า รับซื้อของสะสม ในยโสธร เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)","medium"
