URL,Status Code,Indexability,Type,Canonical URL,Sitemap Presence,Internal Link Count,Action/Status
"https://amphon.co.th/","200","Indexable","Homepage","https://amphon.co.th","Yes","45","Keep Indexable"
"https://amphon.co.th/รับซื้อสินค้าไอที","200","Indexable","Service Hub","https://amphon.co.th/รับซื้อสินค้าไอที","Yes","32","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อคอมพิวเตอร์","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อคอมพิวเตอร์","Yes","28","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อโน๊ตบุ๊ค","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อโน๊ตบุ๊ค","Yes","25","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อ-iphone","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อ-iphone","Yes","24","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อ-macbook","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อ-macbook","Yes","24","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อ-ipad","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อ-ipad","Yes","24","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อแรม","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อแรม","Yes","18","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อ-ssd","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อ-ssd","Yes","16","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อ-nas","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อ-nas","Yes","14","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera","Yes","12","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง","200","Indexable","Service Page","https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง","Yes","12","Keep Indexable"
"https://amphon.co.th/บริการ/รับซื้อ-gopro","301","Non-indexable","Legacy Redirect","https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera","No","0","Redirected via Vercel / Astro Fallback"
"https://amphon.co.th/บริการ/รับซื้อ-hdd","301","Non-indexable","Legacy Redirect","https://amphon.co.th/บริการ/รับซื้อ-ssd","No","0","Redirected via Vercel / Astro Fallback"
"https://amphon.co.th/บริการ/รับซื้อเลนส์","301","Non-indexable","Legacy Redirect","https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง","No","0","Redirected via Vercel / Proposed Fallback"
"https://amphon.co.th/บริการ/รับซื้อ-storage-nas","404","Non-indexable","Broken URL","N/A","No","0","Proposed Redirect to /บริการ/รับซื้อ-nas"
"https://amphon.co.th/รับซื้อ/รับซื้อคอมพิวเตอร์-อุบลราชธานี","301","Non-indexable","Legacy Redirect","https://amphon.co.th/พื้นที่ให้บริการ/รับซื้อคอมพิวเตอร์-อุบลราชธานี","No","0","Redirected via Vercel"
"https://amphon.co.th/พื้นที่ให้บริการ/รับซื้อคอมพิวเตอร์-อุบลราชธานี","200","Indexable","Local Service Area","https://amphon.co.th/พื้นที่ให้บริการ/รับซื้อคอมพิวเตอร์-อุบลราชธานี","Yes","8","Keep Indexable"
"https://amphon.co.th/404","200","Non-indexable","System Page","https://amphon.co.th/404","No","0","Keep Noindex"
"https://amphon.co.th/พื้นที่ให้บริการ","200","Indexable","Area Hub","https://amphon.co.th/พื้นที่ให้บริการ","Yes","15","Keep Indexable"
"https://amphon.co.th/blog","200","Indexable","Blog Hub","https://amphon.co.th/blog","Yes","12","Keep Indexable"
