url,role,status,redirect_count,canonical,robots,sitemap,title,h1,main_content_words,internal_inbound,internal_outbound,result
"/บริการ/รับซื้อของสะสม",target,200-local,0,self,indexable,yes,kept,kept,substantial,n/a,n/a,PASS
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-นครพนม",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
"/รับซื้อ/รับซื้อของสะสม-ยโสธร",source-before,200-local-before,0,self,indexable,yes-before,template,template,low,2,n/a,APPROVED
