source_url,source_file,source_page_type,classification,target_url,source_intent,target_intent,intent_match,visible_words,unique_value,content_to_merge,inbound_links,external_link_status,gsc_status,production_status,canonical,sitemap,approved_for_pilot
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","src/content/serviceAreas/รับซื้อของสะสม-กาฬสินธุ์.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","src/content/serviceAreas/รับซื้อของสะสม-ขอนแก่น.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","src/content/serviceAreas/รับซื้อของสะสม-ชัยภูมิ.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","src/content/serviceAreas/รับซื้อของสะสม-นครพนม.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","src/content/serviceAreas/รับซื้อของสะสม-นครราชสีมา.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","src/content/serviceAreas/รับซื้อของสะสม-บึงกาฬ.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","src/content/serviceAreas/รับซื้อของสะสม-บุรีรัมย์.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","src/content/serviceAreas/รับซื้อของสะสม-มหาสารคาม.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","src/content/serviceAreas/รับซื้อของสะสม-มุกดาหาร.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","src/content/serviceAreas/รับซื้อของสะสม-ยโสธร.md","service-x-location","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-collectibles","commercial-national-collectibles","yes-product-intent-under-hub","~template","low-province-name-swap","none-material","2","EXTERNAL LINK DATA NOT AVAILABLE","GSC_NOT_AVAILABLE","pending-preflight","self","yes-before","yes"
