Source file,Source URL,Anchor,Old URL,Final URL,Action,Verified
src/content/services/รับซื้อ-gopro-action-camera.md,/บริการ/รับซื้อ-gopro-action-camera,"ร้านรับซื้อกล้อง อุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace with existing generated final route",Yes
src/content/services/รับซื้อกล้อง-canon.md,/บริการ/รับซื้อกล้อง-canon,"ร้านรับซื้อกล้องอุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace with existing generated final route",Yes
src/content/services/รับซื้อกล้อง-fujifilm.md,/บริการ/รับซื้อกล้อง-fujifilm,"ร้านรับซื้อกล้อง อุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace with existing generated final route",Yes
src/content/services/รับซื้อกล้อง-mirrorless.md,/บริการ/รับซื้อกล้อง-mirrorless,"ร้านรับซื้อกล้อง อุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace route and make anchor camera-specific",Yes
src/content/services/รับซื้อกล้อง-nikon.md,/บริการ/รับซื้อกล้อง-nikon,"ร้านรับซื้อกล้องอุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace with existing generated final route",Yes
src/content/services/รับซื้อกล้อง-sony.md,/บริการ/รับซื้อกล้อง-sony,"ร้านรับซื้อกล้องอุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace with existing generated final route",Yes
src/content/services/รับซื้อกล้องฟิล์ม.md,/บริการ/รับซื้อกล้องฟิล์ม,"ร้านรับซื้อกล้องอุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace with existing generated final route",Yes
src/content/services/รับซื้อกล้องเสีย.md,/บริการ/รับซื้อกล้องเสีย,"ร้านรับซื้อกล้อง อุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace route and make anchor camera-specific",Yes
src/content/services/รับซื้อเลนส์กล้อง.md,/บริการ/รับซื้อเลนส์กล้อง,"ร้านรับซื้อกล้อง อุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี,/รับซื้อ/รับซื้อกล้อง-อุบลราชธานี,"Replace route and make anchor camera-specific",Yes
src/content/areas/อุบลราชธานี.md,/พื้นที่ให้บริการ/อุบลราชธานี,"รับซื้อคอมพิวเตอร์ อุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อคอมพิวเตอร์-อุบลราชธานี,/รับซื้อ/รับซื้อคอมพิวเตอร์-อุบลราชธานี,"Replace with generated service-area route; remove reversed redirect",Yes
src/content/areas/อุบลราชธานี.md,/พื้นที่ให้บริการ/อุบลราชธานี,"รับซื้อคอมพิวเตอร์ อุบลราชธานี",/พื้นที่ให้บริการ/รับซื้อคอมพิวเตอร์-อุบลราชธานี,/รับซื้อ/รับซื้อคอมพิวเตอร์-อุบลราชธานี,"Replace second occurrence with generated final route",Yes
