url,field,issue,value,group_size,result
/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม,title,LONG_SIGNAL,78,1,SIGNAL
/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย,title,LONG_SIGNAL,73,1,SIGNAL
/blog/macbook-ติด-apple-id-find-my-ก่อนขาย,title,LONG_SIGNAL,73,1,SIGNAL
/blog/กล้อง-fujifilm-รุ่นเก่า-ยังขายได้ไหม,title,LONG_SIGNAL,74,1,SIGNAL
/blog/การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน,title,LONG_SIGNAL,89,1,SIGNAL
/blog/การ์ดจอเคยขุด-ขายได้ไหม-เช็กอย่างไร,title,LONG_SIGNAL,74,1,SIGNAL
/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี,title,LONG_SIGNAL,76,1,SIGNAL
/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา,title,LONG_SIGNAL,79,1,SIGNAL
/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง,title,LONG_SIGNAL,79,1,SIGNAL
/blog/ขายโทรศัพท์มือสองใกล้ฉัน,title,LONG_SIGNAL,72,1,SIGNAL
/blog/ขายโน๊ตบุ๊คเก่าให้ได้ราคาดี-ต้องเช็กอะไรบ้าง,title,LONG_SIGNAL,73,1,SIGNAL
/blog/ควรขายของไอทีตอนไหน-ให้ได้ราคาดีที่สุด,title,LONG_SIGNAL,80,1,SIGNAL
/blog/คอมบริษัทเก่า-ขายแบบไหนให้เคลียร์ง่าย,title,LONG_SIGNAL,80,1,SIGNAL
/blog/ถ่ายรูปสินค้าไอทีให้ร้านประเมินราคาเร็ว,title,LONG_SIGNAL,72,1,SIGNAL
/blog/ราคา-ipad-มือสอง-2026,title,LONG_SIGNAL,75,1,SIGNAL
/blog/ราคา-macbook-มือสอง-2026,title,LONG_SIGNAL,78,1,SIGNAL
/blog/ร้านรับซื้อไอที-เช็กอะไรบ้างก่อนตีราคา,title,LONG_SIGNAL,77,1,SIGNAL
/blog/ลบข้อมูลก่อนขาย-ทำยังไงให้กู้ไม่ได้,title,LONG_SIGNAL,83,1,SIGNAL
/blog/วิธีล้างเครื่อง-macbook-ก่อนขาย,title,LONG_SIGNAL,89,1,SIGNAL
/blog/วิธีเช็ก-battery-health-iphone-ก่อนขาย,title,LONG_SIGNAL,79,1,SIGNAL
/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน,title,LONG_SIGNAL,76,1,SIGNAL
/blog/วิธีเช็กสเปกคอมก่อนขาย,title,LONG_SIGNAL,75,1,SIGNAL
/blog/โน๊ตบุ๊คเปิดไม่ติด-ขายได้ไหม,title,LONG_SIGNAL,78,1,SIGNAL
/บริการ/รับซื้อ-asus-tuf-gaming,title,LONG_SIGNAL,73,1,SIGNAL
/บริการ/รับซื้อ-cpu,title,LONG_SIGNAL,82,1,SIGNAL
/บริการ/รับซื้อ-dell-alienware,title,LONG_SIGNAL,72,1,SIGNAL
/บริการ/รับซื้อ-ipad-air,title,LONG_SIGNAL,76,1,SIGNAL
/บริการ/รับซื้อ-ipad-pro,title,LONG_SIGNAL,72,1,SIGNAL
