url,current_status,unicode_status,encoded_status,route_exists,sitemap,internal_links,mojibake,root_cause,recommended_classification,proposed_target,target_status,intent_match,seo_risk,business_risk,owner_approval_required,reason
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-สกลนคร,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/รับซื้อ/รับซื้อ-ssd-สกลนคร,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-นครพนม,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/รับซื้อ/รับซื้อ-ssd-นครพนม,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-เลย,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/บริการ/รับซื้อ-gopro-action-camera,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-อุดรธานี,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/บริการ/รับซื้อเลนส์กล้อง,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-นครพนม,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/บริการ/รับซื้อเลนส์กล้อง,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-อุดรธานี,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/บริการ/รับซื้อ-gopro-action-camera,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-หนองบัวลำภู,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/รับซื้อ/รับซื้อ-ssd-หนองบัวลำภู,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-บึงกาฬ,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/บริการ/รับซื้อ-gopro-action-camera,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-ชัยภูมิ,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/บริการ/รับซื้อเลนส์กล้อง,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-หนองคาย,init=308;final=200;rawLoc=true,308,308,content_file,no,0,location_risk,vercel_location_raw_utf8,FIX_ENCODING_ONLY,/บริการ/รับซื้อเลนส์กล้อง,http=200;index=likely_indexable;canon=yes;sm=yes;hops=0,yes,high,medium,yes,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.
