asset,format,intrinsic_width,intrinsic_height,orientation,has_alpha,animated,filesize,result
/images/services/rub-sue-komputer-gaming-pc-amphon.webp,webp,344,194,,false,false,9580,ok
/images/services/rub-sue-bluetooth-speaker-amphon.png,jpeg,1024,1024,,false,false,697984,ok
/images/services/rub-sue-nintendo-switch-amphon.png,jpeg,1024,1024,,false,false,578864,ok
/images/services/rub-sue-playstation-ps5-amphon.png,jpeg,1024,1024,,false,false,610717,ok
/images/services/rub-sue-ssd-hdd-amphon.png,jpeg,1024,1024,,false,false,919304,ok
/images/services/rub-sue-collectibles-amphon.png,jpeg,1024,1024,,false,false,785881,ok
/images/services/rub-sue-e-waste-broken-it-amphon.png,jpeg,1024,1024,,false,false,910304,ok
/images/services/rub-sue-gaming-monitor-amphon.png,jpeg,1024,1024,,false,false,657567,ok
/images/services/rub-sue-cpu-intel-amd-amphon.png,jpeg,1024,1024,,false,false,690521,ok
/images/services/rub-sue-tivi-amphon.png,jpeg,1024,1024,,false,false,777454,ok
/images/services/rub-sue-headphone-earbud-amphon.png,jpeg,1024,1024,,false,false,628378,ok
/images/services/rub-sue-it-gadget-accessories-amphon.png,jpeg,1024,1024,,false,false,795276,ok
/images/services/rub-sue-game-console-amphon.png,jpeg,1024,1024,,false,false,577844,ok
/images/services/rub-sue-appliance-amphon.png,jpeg,1024,1024,,false,false,655369,ok
/images/services/rub-sue-furniture-amphon.png,jpeg,1024,1024,,false,false,795014,ok
/images/services/rub-sue-mainboard-motherboard-amphon.png,jpeg,1024,1024,,false,false,826429,ok
/images/services/rub-sue-ram-ddr4-ddr5-amphon.png,jpeg,1024,1024,,false,false,684586,ok
/images/services/rub-sue-drone-dji-amphon.png,jpeg,1024,1024,,false,false,655930,ok
/images/services/rub-sue-gaming-notebook-amphon.png,jpeg,1024,1024,,false,false,684208,ok
/images/services/rub-sue-it-auction-bidding-amphon.png,jpeg,1024,1024,,false,false,903025,ok
